Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015646+Na145.0648	104.1463758	59.78917659	131.8087534
HMDB0015646+Na247.1879	N/A	N/A	N/A
HMDB0015646+Na264.1955	149.349021	129.4319756	178.442179
HMDB0015646+Na121.0645	N/A	309.0728365	364.5378521
HMDB0015646+Na134.0673	83.34645674	46.12004882	17.86008319
HMDB0015646+Na159.0794	N/A	53.61111419	33.41776701
HMDB0015646+Na202.1299	N/A	N/A	N/A
HMDB0015646+Na160.0827	27.71836149	21.81890857	19.82887548
HMDB0015646+Na163.0981	N/A	93.09468545	107.8292882
HMDB0015646+Na164.1057	75.33369072	138.5986103	49.76760861
HMDB0015646+Na201.1275	N/A	N/A	N/A
HMDB0015646+Na115.054	83.7281978	157.8022497	96.34831594
HMDB0015646+Na121.0639	N/A	292.324772	355.7563586
HMDB0015646+Na246.1848	13.85783732	18.80430246	12.35667309
HMDB0015646+Na201.1266	N/A	N/A	N/A
HMDB0015646+Na131.085	1505.935523	1214.147497	1428.637146
HMDB0015646+Na81.0699	2919.83525	2122.743486	2220.453289
HMDB0015646+Na262.1814	N/A	43.11999565	62.9595984
HMDB0015646+Na119.0501	N/A	N/A	N/A
HMDB0015646+Na204.1155	N/A	25.50553791	41.38168659
HMDB0015646+Na262.1812	65.01010913	44.84993924	63.27395766
HMDB0015646+Na185.0971	N/A	28.57198085	N/A
HMDB0015646+Na159.079	N/A	53.26930781	36.23832218
HMDB0015646+Na186.1049	75.58055203	18.13157641	15.05795999
HMDB0015646+Na246.1851	13.4545564	18.64929833	12.47269458
HMDB0015646+Na264.196	148.5376938	140.1762772	181.6272415
HMDB0015646+Na107.0492	N/A	135.2692789	118.1868764
HMDB0015646+Na157.063	N/A	N/A	N/A
HMDB0015646+Na133.064	N/A	43.122651	45.15321178
HMDB0015646+Na131.0487	N/A	138.4397399	122.8480236
HMDB0015646+Na141.0692	N/A	27.94418046	52.25893013
HMDB0015646+Na115.0539	83.39433405	157.9962922	95.95563801
HMDB0015646+Na144.056	N/A	N/A	N/A
HMDB0015646+Na131.0484	N/A	139.2628208	123.7746172
HMDB0015646+Na129.0691	1001.918113	1004.018421	862.2018651
HMDB0015646+Na127.0538	N/A	25.003777	16.34730818
HMDB0015646+Na121.0638	N/A	289.5334238	354.2868419
HMDB0015646+Na117.0694	671.4510098	621.7046961	604.7305958
HMDB0015646+Na116.0608	593.4271404	26.53092992	37.5384459
HMDB0015646+Na147.0788	152.3367874	115.5285723	112.8210669
HMDB0015646+Na163.0979	N/A	87.10619219	102.9115668
HMDB0015646+Na159.0795	N/A	53.5567223	35.41892665
HMDB0015646+Na149.0823	37.78186081	N/A	74.15860156
HMDB0015646+Na131.0844	1486.398322	1183.67544	1428.252865
HMDB0015646+Na145.0637	99.07357453	62.81326559	132.857624
HMDB0015646+Na144.0557	N/A	N/A	N/A
HMDB0015646+Na246.1852	13.32240277	18.59568559	12.50229307
HMDB0015646+Na132.0556	N/A	18.89385684	16.91695895
HMDB0015646+Na169.0742	N/A	35.66257451	31.46611484
HMDB0015646+Na145.0635	97.1059608	63.24577969	132.3791301
HMDB0015646+Na134.0671	80.4387204	45.65305898	18.48394246
HMDB0015646+Na147.0791	151.2200745	112.1182356	113.6611878
HMDB0015646+Na149.0822	34.69964681	N/A	71.09175543
HMDB0015646+Na133.0639	N/A	N/A	45.81545929
HMDB0015646+Na155.0595	29.9218755	15.98058939	N/A
HMDB0015646+Na246.1856	16.5313585	18.15432463	12.62068695
HMDB0015646+Na246.1859	17.43383875	17.94993778	12.7094823
HMDB0015646+Na264.1962	148.5244314	139.1089228	182.2177753
HMDB0015646+Na58.0652	2122.446489	2074.971643	1591.01274
HMDB0015646+Na107.049	N/A	137.2915707	118.1179297
HMDB0015646+Na134.0674	84.8003241	46.06339535	17.46574007
HMDB0015646+NH479.0542	N/A	N/A	N/A
HMDB0015646+NH4246.1855	27.42486611	13.16555257	N/A
HMDB0015646+NH4246.1853	27.45881465	13.14752389	N/A
HMDB0015646+NH4201.1273	N/A	N/A	N/A
HMDB0015646+NH4264.1957	293.0831925	N/A	N/A
HMDB0015646+NH4201.1274	N/A	N/A	N/A
HMDB0015646+NH4133.0648	N/A	N/A	N/A
HMDB0015646+NH4105.0699	N/A	N/A	N/A
HMDB0015646+NH4145.0648	N/A	N/A	N/A
HMDB0015646+NH4264.1962	292.2540662	N/A	N/A
HMDB0015646+NH458.0652	N/A	N/A	N/A
HMDB0015646+NH458.0651	N/A	N/A	N/A
HMDB0015646+NH4159.0805	85.67111868	38.07374956	N/A
HMDB0015646+NH4159.0804	82.5485889	38.1544348	N/A
HMDB0015646+NH4246.1856	27.40789185	13.1745669	N/A
HMDB0015646+NH4133.0649	N/A	N/A	N/A
HMDB0015646+NH4107.0492	N/A	N/A	N/A
HMDB0015646+NH4107.0493	N/A	N/A	N/A
HMDB0015646+NH4246.1859	27.35696908	13.20160989	N/A
HMDB0015646+NH458.0655	N/A	N/A	N/A
HMDB0015646+NH458.0653	N/A	N/A	N/A
HMDB0015646+NH4202.1299	N/A	N/A	N/A
HMDB0015646+NH479.0543	N/A	N/A	N/A
HMDB0015646+NH495.0491	N/A	N/A	N/A
HMDB0015646+NH4133.0646	N/A	N/A	N/A
HMDB0015646+NH4133.0647	N/A	N/A	N/A
HMDB0015646+NH4145.0649	N/A	N/A	N/A
HMDB0015646+NH4163.0981	N/A	N/A	N/A
HMDB0015646+NH4160.0827	23.8603808	16.74789199	16.57015114
HMDB0015646+NH4159.0794	N/A	39.36012085	N/A
HMDB0015646+NH4141.0686	39.40232276	43.45613536	N/A
HMDB0015646+NH4134.0673	37.25837332	20.47438726	N/A
HMDB0015646+NH4246.1849	27.52671176	13.12691895	N/A
HMDB0015646+NH4107.0491	N/A	N/A	N/A
HMDB0015646+NH4247.1879	N/A	N/A	N/A
HMDB0015646+NH4264.1956	290.2500821	N/A	N/A
HMDB0015646+NH4121.0645	4857.486694	N/A	N/A
HMDB0015646+NH4264.1955	290.286527	N/A	N/A
HMDB0015646+NH458.0654	N/A	N/A	N/A
HMDB0015646+NH4246.1852	27.47578892	13.14064388	N/A
HMDB0015646+NH4246.1848	27.54368604	13.12234397	N/A
HMDB0015646+NH4149.0823	61.5625855	36.84391706	16.77969614
HMDB0015646+NH4133.0638	N/A	N/A	N/A
HMDB0015646+NH4265.1992	474.3846436	24.17834143	23.61897301
HMDB0015646+NH4264.196	292.6577542	N/A	N/A
HMDB0015646+NH4246.1851	27.4927632	13.1360689	N/A
HMDB0015646+NH4186.1049	57.08705935	N/A	14.66050034
HMDB0015646+NH4159.079	N/A	39.36320211	N/A
HMDB0015646+NH4145.0637	N/A	52.39565486	42.31828733
HMDB0015646+NH4131.0844	N/A	N/A	N/A
HMDB0015646+NH4185.0971	24.58483653	N/A	31.76510326
HMDB0015646+NH4262.1812	149.5203254	50.59564748	33.90826165
HMDB0015646+NH4186.1048	56.59080138	N/A	N/A
HMDB0015646+NH4119.0501	2580.469245	N/A	N/A
HMDB0015646+NH4_B	1431.521643	N/A	N/A
HMDB0015646+NH4159.0795	54.44577674	39.23861181	N/A
HMDB0015646+NH4131.0487	N/A	N/A	N/A
HMDB0015646+NH4262.1814	147.6036729	50.55133587	34.05454303
HMDB0015646+NH481.0699	N/A	N/A	N/A
HMDB0015646+NH4131.085	N/A	N/A	N/A
HMDB0015646+NH4201.1266	N/A	N/A	N/A
HMDB0015646+NH4121.0639	4891.744291	N/A	N/A
HMDB0015646+NH4115.054	32.74584519	N/A	N/A
