Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015646+NH4134.0673	0.082049504	0.087756638	N/A
HMDB0015646+NH4246.1849	0.144856296	0.092410852	N/A
HMDB0015646+NH4107.0491	N/A	N/A	N/A
HMDB0015646+NH4247.1879	N/A	N/A	N/A
HMDB0015646+NH4264.1956	0.086550049	N/A	N/A
HMDB0015646+NH4121.0645	0.104835779	N/A	N/A
HMDB0015646+NH4264.1955	0.086583944	N/A	N/A
HMDB0015646+NH458.0654	N/A	N/A	N/A
HMDB0015646+NH4246.1852	0.14553384	0.092475591	N/A
HMDB0015646+NH4246.1848	0.144635175	0.092389271	N/A
HMDB0015646+NH4149.0823	0.148702933	0.113426398	0.079178969
HMDB0015646+NH4133.0638	N/A	N/A	N/A
HMDB0015646+NH4265.1992	0.143544571	0.078201257	0.107635371
HMDB0015646+NH4264.196	0.086994059	N/A	N/A
HMDB0015646+NH4246.1851	0.145305577	0.092454012	N/A
HMDB0015646+NH4186.1049	0.091105955	N/A	0.090441657
HMDB0015646+NH4159.079	N/A	0.113224168	N/A
HMDB0015646+NH4145.0637	N/A	0.116666364	0.130834894
HMDB0015646+NH4131.0844	N/A	N/A	N/A
HMDB0015646+NH4185.0971	0.121587225	N/A	0.120427611
HMDB0015646+NH4262.1812	0.101944508	0.099572872	0.08346386
HMDB0015646+NH4186.1048	0.090751386	N/A	N/A
HMDB0015646+NH4119.0501	0.127502889	N/A	N/A
HMDB0015646+NH4_B	0.084586143	N/A	N/A
HMDB0015646+NH4159.0795	0.105955112	0.111763905	N/A
HMDB0015646+NH4131.0487	N/A	N/A	N/A
HMDB0015646+NH4262.1814	0.10171394	0.09992683	0.083683356
HMDB0015646+NH481.0699	N/A	N/A	N/A
HMDB0015646+NH4131.085	N/A	N/A	N/A
HMDB0015646+NH4201.1266	N/A	N/A	N/A
HMDB0015646+NH4121.0639	0.104589398	N/A	N/A
HMDB0015646+NH4115.054	0.081230827	N/A	N/A
HMDB0015646+NH4201.1275	N/A	N/A	N/A
HMDB0015646+NH4164.1057	0.095603011	N/A	N/A
HMDB0015646+NH4163.0979	N/A	N/A	N/A
HMDB0015646+NH4147.0788	0.092368151	N/A	N/A
