Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		159.0835816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na159.0804	100	1	1	Linear	TRUE	3	159.0772184		0		TRUE
TRUE	TRUE	0.1	TRUE		145.0677013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0648	100	1	1	Linear	TRUE	3	145.0618987		0		TRUE
TRUE	TRUE	0.1	TRUE		247.1928438	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na247.1879	100	1	1	Linear	TRUE	3	247.1829562		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2007839	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na264.1955	100	1	1	Linear	TRUE	3	264.1902161		0		TRUE
TRUE	TRUE	0.1	TRUE		121.0669213	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na121.0645	100	1	1	Linear	TRUE	3	121.0620787		0		TRUE
TRUE	TRUE	0.1	TRUE		134.0699813	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na134.0673	100	1	1	Linear	TRUE	3	134.0646187		0		TRUE
TRUE	TRUE	0.1	TRUE		159.0825816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na159.0794	100	1	1	Linear	TRUE	3	159.0762184		0		TRUE
TRUE	TRUE	0.1	TRUE		202.1339426	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na202.1299	100	1	1	Linear	TRUE	3	202.1258574		0		TRUE
TRUE	TRUE	0.1	TRUE		160.0859017	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na160.0827	100	1	1	Linear	TRUE	3	160.0794983		0		TRUE
TRUE	TRUE	0.1	TRUE		163.101362	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na163.0981	100	1	1	Linear	TRUE	3	163.094838		0		TRUE
TRUE	TRUE	0.1	TRUE		164.1089821	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na164.1057	100	1	1	Linear	TRUE	3	164.1024179		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1315226	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na201.1275	100	1	1	Linear	TRUE	3	201.1234775		0		TRUE
TRUE	TRUE	0.1	TRUE		115.0563011	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na115.054	100	1	1	Linear	TRUE	3	115.0516989		0		TRUE
