Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015636+H_B	6.689099557	N/A	7.073149634
HMDB0015636+H186.100128	N/A	N/A	7.115220021
HMDB0015636+H202.122681	6.944539456	N/A	N/A
HMDB0015636+H155.085388	6.638918079	N/A	N/A
HMDB0015636+H170.073318	6.797280855	6.503179275	7.345487197
HMDB0015636+H244.133301	6.688698791	N/A	N/A
HMDB0015636+H154.077881	6.648293513	N/A	N/A
HMDB0015633+K66.0464	20.3682088	N/A	19.94526022
HMDB0015633+K168.0114	N/A	N/A	N/A
HMDB0015633+K149.0472	N/A	20.33930557	N/A
HMDB0015633+K132.008	N/A	19.85452372	19.4103663
HMDB0015633+K196.007187	N/A	N/A	N/A
HMDB0015633+K370.818146	N/A	N/A	N/A
HMDB0015633+K147.0315	19.97412854	N/A	N/A
HMDB0015633+K140.0165	20.00998749	19.9534826	20.16647179
HMDB0015633+K124.0393	20.11629408	19.79584024	19.53390268
HMDB0015633+K177.9957	N/A	N/A	N/A
HMDB0015633+K122.0363	N/A	20.12009415	19.45078333
HMDB0015633+K121.0522	19.42686542	19.43313112	19.43328615
HMDB0015633+K112.1121	N/A	N/A	N/A
HMDB0015633+K110.0059	N/A	20.35931667	N/A
HMDB0015633+K107.9902	20.29454094	N/A	N/A
HMDB0015633+K242.0481	19.4368872	N/A	N/A
HMDB0015633+K138.0186	19.95550941	20.11913169	N/A
HMDB0015633+K84.0808	N/A	20.34908317	19.69852912
HMDB0015633+K186.0228	N/A	19.97755542	19.96825532
HMDB0015633+K196.0064	N/A	N/A	N/A
HMDB0015633+K138.0187	19.95549599	20.11859445	N/A
HMDB0015633+K121.0523	19.42696859	19.43340192	19.43284296
HMDB0015633+K110.0058	N/A	20.35931667	N/A
HMDB0015633+K108.0444	20.07277124	19.88225216	20.35914474
HMDB0015633+K93.0572	20.06502884	19.40044164	19.49339175
HMDB0015633+K371.184265	20.18306351	19.62356382	20.24819054
HMDB0015633+K84.0807	N/A	20.34892455	19.6986182
HMDB0015633+K214.0167	N/A	19.57735	N/A
HMDB0015633+K140.0166	20.00935174	19.95305754	20.16650995
HMDB0015633+K214.0168	N/A	19.57735	N/A
HMDB0015633+K147.0314	19.97468301	N/A	N/A
HMDB0015633+K370.1795	N/A	N/A	19.39972667
HMDB0015633+K370.1799	N/A	N/A	19.39972648
HMDB0015633+K242.0486	19.43713927	N/A	N/A
HMDB0015633+K196.0063	N/A	N/A	N/A
HMDB0015633+K149.0471	N/A	20.33911185	N/A
HMDB0015633+K242.0479	19.43677555	N/A	N/A
HMDB0015633+K372.179443	N/A	19.51668243	19.63771664
HMDB0015633+K372.17926	N/A	19.51656893	19.6377164
HMDB0015633+K370.182434	N/A	N/A	N/A
HMDB0015633+K340.1335	20.03421083	19.91432137	N/A
HMDB0015633+K134.0243	N/A	19.72685	20.12938977
HMDB0015633+K340.1332	20.03459274	19.91582735	N/A
HMDB0015633+K276.1733	N/A	19.91216018	20.14352624
HMDB0015633+K184.0438	20.2803258	20.07183251	19.59888456
HMDB0015633+K163.0521	19.85451956	20.32819457	20.1193327
HMDB0015633+K156.0126	19.77056167	N/A	20.34650314
HMDB0015633+K368.1658	N/A	N/A	N/A
HMDB0015633+K184.0432	20.28067435	20.07183251	20.1167051
HMDB0015633+K_B	19.89235087	N/A	19.90076339
HMDB0015633+K156.0123	19.77090581	N/A	20.34650281
HMDB0015633+K214.0545	N/A	N/A	19.98266067
HMDB0015633+K340.133	20.03484097	19.91689064	N/A
HMDB0015633+K243.051926	N/A	19.83979895	19.85076243
HMDB0015633+K186.0229	N/A	19.97689989	19.96825532
HMDB0015633+K243.0509	N/A	19.84664723	19.8496062
HMDB0015633+K149.0463	N/A	20.33778977	N/A
HMDB0015633+K196.0058	N/A	N/A	N/A
HMDB0015633+K214.0164	N/A	19.57735	N/A
HMDB0015633+K168.0105	N/A	N/A	N/A
HMDB0015633+K242.0482	19.43694057	N/A	N/A
HMDB0015633+K370.1802	N/A	N/A	19.39972648
HMDB0015633+K112.112	N/A	N/A	N/A
HMDB0015633+K163.0519	19.85625802	20.02975206	20.11975902
HMDB0015633+K122.0362	N/A	20.12009415	19.45078333
HMDB0015633+K368.1642	N/A	N/A	N/A
HMDB0015633+K242.050903	19.43856291	N/A	N/A
HMDB0015633+K156.0124	19.77077905	N/A	20.34650292
HMDB0015633+K243.051834	N/A	19.84028609	19.85075824
HMDB0015633+K244.046692	N/A	N/A	20.15224949
HMDB0015633+K242.559052	19.58881667	19.50835	20.01735616
HMDB0015633+K370.182068	N/A	N/A	N/A
HMDB0015633+K371.183746	20.18282551	19.62328897	20.24849671
HMDB0015633+K340.1338	20.03380252	19.91291291	N/A
HMDB0015633+K112.11232	N/A	N/A	N/A
HMDB0015633+K214.017258	N/A	19.57768064	N/A
HMDB0015633+K242.050171	19.43779246	N/A	N/A
HMDB0015633+K196.007263	N/A	N/A	N/A
HMDB0015633+K214.017502	N/A	20.12753793	N/A
HMDB0015633+K112.1122	N/A	N/A	N/A
HMDB0015633+K184.0436	20.28031692	20.07183251	19.59982167
HMDB0015633+K242.0485	19.43709169	N/A	N/A
HMDB0015633+K242.0484	19.43704275	N/A	N/A
HMDB0015633+K112.112907	N/A	N/A	N/A
HMDB0015633+K370.1797	N/A	N/A	19.39972648
HMDB0015633+K371.1827	20.18177231	19.62180193	20.24911636
HMDB0015633+K370.181	N/A	N/A	N/A
HMDB0015633+K184.0437	20.28032136	20.07183251	19.59934483
HMDB0015633+K242.048	19.43683222	N/A	N/A
HMDB0015596+K154.0978	N/A	N/A	N/A
HMDB0015596+K107.0855	N/A	N/A	N/A
HMDB0015596+K152.1158	N/A	N/A	N/A
HMDB0015596+K134.105	N/A	N/A	N/A
HMDB0015596+K151.1122	N/A	N/A	N/A
HMDB0015596+K348.140503	N/A	N/A	N/A
HMDB0015596+K95.0492	N/A	N/A	N/A
HMDB0015596+K154.0975	N/A	N/A	N/A
HMDB0015596+K_B	5.344072745	N/A	N/A
HMDB0015596+K304.2021	N/A	N/A	N/A
HMDB0015596+K151.1119	N/A	N/A	N/A
HMDB0015596+K261.099915	N/A	N/A	N/A
HMDB0015596+K222.110168	N/A	N/A	N/A
HMDB0015596+K221.107437	N/A	N/A	N/A
HMDB0015596+K305.20575	N/A	N/A	N/A
HMDB0015596+K347.137909	N/A	N/A	5.803665503
HMDB0015596+K155.100342	N/A	N/A	N/A
HMDB0015596+K305.2078	N/A	N/A	N/A
HMDB0015596+K105.0699	N/A	N/A	N/A
HMDB0015596+K154.098495	N/A	N/A	N/A
HMDB0015596+K151.1124	N/A	N/A	N/A
HMDB0015596+K154.0981	N/A	N/A	N/A
HMDB0015596+K155.101	N/A	N/A	N/A
HMDB0015596+K133.1017	N/A	N/A	N/A
HMDB0015596+K152.1155	N/A	N/A	N/A
HMDB0015596+K154.0979	N/A	N/A	N/A
HMDB0015596+K152.1157	N/A	N/A	N/A
HMDB0015596+K93.0699	N/A	N/A	N/A
HMDB0015596+K133.1014	N/A	N/A	N/A
HMDB0015596+K123.1178	N/A	5.143454814	N/A
HMDB0015596+K304.2048	N/A	N/A	N/A
HMDB0015596+K155.1014	N/A	N/A	N/A
HMDB0015596+K154.0984	N/A	N/A	N/A
HMDB0015596+K304.203766	N/A	N/A	N/A
HMDB0015596+K151.111694	N/A	N/A	N/A
HMDB0015596+K151.1123	N/A	N/A	N/A
HMDB0015596+K154.0976	N/A	N/A	N/A
HMDB0015596+K70.0651	N/A	N/A	N/A
HMDB0015596+K81.0699	N/A	N/A	N/A
HMDB0015596+K91.0542	N/A	N/A	N/A
HMDB0015596+K95.0491	N/A	N/A	N/A
HMDB0015596+K97.07600000000001	N/A	N/A	N/A
HMDB0015596+K107.0856	N/A	N/A	N/A
HMDB0015596+K109.0648	N/A	N/A	N/A
HMDB0015596+K133.1012	N/A	N/A	N/A
HMDB0015596+K151.1118	N/A	N/A	N/A
HMDB0015596+K97.076279	N/A	N/A	N/A
HMDB0015596+K305.2074	N/A	N/A	N/A
HMDB0015596+H133.1014	N/A	N/A	N/A
HMDB0015596+H107.0856	N/A	N/A	N/A
HMDB0015596+H95.0491	N/A	N/A	N/A
HMDB0015596+H91.0542	N/A	N/A	N/A
HMDB0015596+H81.0699	N/A	N/A	N/A
HMDB0015596+H70.0651	N/A	N/A	N/A
HMDB0015596+H154.0976	N/A	N/A	N/A
HMDB0015596+H151.1123	N/A	N/A	N/A
HMDB0015596+H304.203766	6.739739049	N/A	N/A
HMDB0015596+H151.1124	N/A	N/A	N/A
HMDB0015596+H154.0984	N/A	N/A	N/A
HMDB0015596+H155.1014	N/A	N/A	N/A
HMDB0015596+H304.2048	6.739835064	N/A	N/A
HMDB0015596+H305.2074	6.991396956	N/A	N/A
HMDB0015596+H123.1178	N/A	N/A	N/A
HMDB0015596+H93.0699	N/A	N/A	N/A
HMDB0015596+H152.1157	N/A	N/A	N/A
HMDB0015596+H154.0979	N/A	N/A	N/A
HMDB0015596+H152.1155	N/A	N/A	N/A
HMDB0015596+H133.1017	N/A	N/A	N/A
HMDB0015596+H155.101	N/A	N/A	N/A
HMDB0015596+H154.0981	N/A	N/A	N/A
